,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
775,2022-06-19,Films (Non-English),5,Bhool Bhulaiyaa 2,,4120000,1,tm1227853,MOVIE,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",2022.0,,142.0,"['horror', 'comedy']",['IN'],,tt6455162,5.9,27244.0
776,2022-06-19,Films (Non-English),6,Loca por el trabajo,,3970000,1,,,,,,,,,,,,
777,2022-06-19,Films (Non-English),7,RRR (Hindi),,3150000,5,,,,,,,,,,,,
778,2022-06-19,Films (Non-English),8,Don,,2740000,2,tm30170,MOVIE,"DCP DeSilva sees a way to bring to justice the feared head of a criminal empire by recruiting a man named Vijay, who looks exactly like the crime boss. The ruse works too well, and soon Vijay finds his life in danger when DeSilva, the only one who knows his true identity, dies.",2006.0,PG-13,167.0,"['thriller', 'crime', 'action', 'european']",['IN'],,tt0461936,7.1,37131.0
779,2022-06-19,Films (Non-English),8,Don,,2740000,2,tm1132325,MOVIE,A youngster who is still figuring out what his passion is gets into an engineering college where he clashes with a disciplinarian faculty.,2022.0,,164.0,"['romance', 'comedy', 'drama', 'action']",['IN'],,tt10709484,7.0,6667.0
780,2022-06-19,Films (Non-English),9,Ben & Jody,,1950000,1,tm1161601,MOVIE,Two best friends band together with a group of villages to fight back against treacherous illegal loggers attempting to take away their land.,2022.0,,114.0,"['action', 'thriller', 'drama', 'fantasy']",['ID'],,tt13393058,5.4,222.0
781,2022-06-19,Films (Non-English),10,Belzebuth,,1860000,2,,,,,,,,,,,,
782,2022-06-19,TV (English),1,Stranger Things,Stranger Things 4,102260000,4,ts38796,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],5.0,tt4574334,8.7,1101055.0
783,2022-06-19,TV (English),2,Peaky Blinders,Peaky Blinders: Season 6,61360000,2,ts20110,SHOW,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",2013.0,TV-MA,58.0,"['crime', 'drama', 'european']",['GB'],6.0,tt2442560,8.8,511668.0
784,2022-06-19,TV (English),3,First Kill,First Kill: Season 1,48770000,2,ts255888,SHOW,"Falling in love is tricky for teens Juliette and Calliope: One's a vampire, the other's a vampire hunter — and both are ready to make their first kill.",2022.0,TV-MA,49.0,"['thriller', 'drama', 'fantasy', 'horror']",['US'],1.0,tt13315156,6.4,23605.0
785,2022-06-19,TV (English),4,Stranger Things,Stranger Things 3,38900000,4,ts38796,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],5.0,tt4574334,8.7,1101055.0
786,2022-06-19,TV (English),5,Stranger Things,Stranger Things 2,38660000,4,ts38796,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],5.0,tt4574334,8.7,1101055.0
787,2022-06-19,TV (English),6,Stranger Things,,35880000,5,ts38796,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],5.0,tt4574334,8.7,1101055.0
