,week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
388,2022-08-28,TV (English),9,14460000,6,virgin river,SHOW,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",2019.0,TV-14,44.0,"['drama', 'romance']",['US'],tt9077530,7.4,36459.0
390,2022-08-28,TV (Non-English),1,53890000,8,extraordinary attorney woo,SHOW,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,2022.0,TV-14,70.0,['drama'],['KR'],tt20869502,8.8,"10,429"
391,2022-08-28,TV (Non-English),2,53390000,2,high heat,series,"When clues to his brother's murder lead Poncho to a fire brigade, he joins it to investigate further and finds romance, family - and a serial killer.",2022–,TV-MA,N/A,Drama,Mexico,tt17641200,6.1,485
392,2022-08-28,TV (Non-English),3,28590000,9,alchemy of souls,SHOW,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",2022.0,TV-14,80.0,"['drama', 'action', 'thriller', 'scifi', 'comedy', 'fantasy', 'romance']",['KR'],tt20859920,8.6,878.0
393,2022-08-28,TV (Non-English),4,21570000,1,kleo,series,"After the fall of the Berlin Wall, a former spy killer is set free and embarks on a revenge spree against the people who conspired to betray her.",2022–,TV-MA,N/A,"Action, Crime, Drama",Germany,tt15135104,7.4,"7,215"
394,2022-08-28,TV (Non-English),5,16640000,2,the girl in the mirror,series,"After losing her memory in a bizarre accident that kills most of her classmates, Alma tries to unravel what happened that day and regain her identity.",2022–,TV-MA,N/A,"Drama, Horror, Mystery",Spain,tt13106334,6.2,"1,660"
395,2022-08-28,TV (Non-English),6,14770000,6,pasión de gavilanes,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527"
396,2022-08-28,TV (Non-English),7,11830000,5,another self,series,Three close friends set off on a journey to Ayvalik and then to their reshaped future.,2022–,TV-MA,1 min,"Drama, Romance",Turkey,tt14899624,6.4,"3,333"
397,2022-08-28,TV (Non-English),8,8780000,1,young lady and gentleman,series,"Lee Young Kook is a widower with three children. He decides to hire Park Dan Dan as a live-in tutor for his kids and he becomes attracted to her despite the age difference. Probably because Park Dan Dan is funny, charming, and pos...",2021–,N/A,31S min,"Comedy, Drama, Family",South Korea,tt15514606,6.4,289
398,2022-08-28,TV (Non-English),9,8130000,3,a model family,series,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier.",2022–,TV-MA,N/A,"Crime, Drama, Thriller",South Korea,tt21289712,6.6,916
399,2022-08-28,TV (Non-English),10,8020000,6,pasión de gavilanes,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527"
400,2022-08-21,Films (English),1,63390000,2,day shift,movie,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.",2022,R,113 min,"Action, Comedy, Fantasy",United States,tt13314558,6.1,"70,257"
401,2022-08-21,Films (English),2,48060000,1,look both ways,movie,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.",2022,TV-14,110 min,"Comedy, Drama, Romance",United States,tt14298328,6.3,"15,572"
402,2022-08-21,Films (English),3,39310000,1,the next 365 days,movie,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.,2022,TV-MA,112 min,"Drama, Romance",Poland,tt21106646,2.7,"5,835"
403,2022-08-21,Films (English),4,23410000,4,purple hearts,movie,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.",2022,TV-14,122 min,"Drama, Music, Romance",United States,tt4614584,6.7,"35,776"
404,2022-08-21,Films (English),5,20050000,1,untold: the girlfriend who didn't exist,movie,"From Notre Dame to the NFL, Manti Te'o's future in football showed promise until a secret online relationship sent his life and career spiraling.",2022,TV-MA,124 min,"Documentary, Biography, Sport",United States,tt21340300,7.2,"5,524"
405,2022-08-21,Films (English),6,14640000,5,the gray man,MOVIE,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",2022.0,PG-13,128.0,"['thriller', 'action']","['US', 'CZ']",tt1649418,6.6,46071.0
406,2022-08-21,Films (English),7,11470000,1,the angry birds movie 2,movie,The flightless birds and scheming green pigs take their feud to the next level.,2019,PG,97 min,"Animation, Action, Adventure","Finland, United States",tt6095472,6.4,"29,913"
407,2022-08-21,Films (English),8,8660000,3,uncharted,movie,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",2022,PG-13,116 min,"Action, Adventure","Spain, United States",tt1464335,6.3,"192,391"
408,2022-08-21,Films (English),9,8120000,7,the sea beast,MOVIE,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.",2022.0,PG,115.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],tt9288046,7.1,18852.0
409,2022-08-21,Films (English),10,6990000,1,inside the mind of a cat,movie,Cat experts dive into the mind of the feline to reveal the true capabilities of the pouncing pet in this captivating and cuddly documentary.,2022,TV-PG,67 min,Documentary,United States,tt21340412,6.9,"4,091"
410,2022-08-21,Films (Non-English),1,11910000,1,royalteen,movie,"Follows prince Karl Johan and newcomer Lena, who have feelings for each other but are aware that their relationship might put them in an impossible situation, while he has to carry a nation on his shoulders, she carries lies on hers.",2022,TV-MA,107 min,"Drama, Romance",Norway,tt15022184,5.2,"1,686"
412,2022-08-21,Films (Non-English),3,7180000,3,carter,movie,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him ""Carter""?",2022,TV-MA,132 min,"Action, Thriller",South Korea,tt21237030,5.1,"7,853"
414,2022-08-21,Films (Non-English),5,5640000,3,darlings,movie,It follows the lives of two women as they find courage and love in exceptional circumstances.,2022,TV-14,133 min,"Comedy, Drama, Thriller",India,tt14152140,6.6,"16,771"
416,2022-08-21,Films (Non-English),7,4070000,2,bank robbers: the last great heist,movie,"Through revealing interviews, the perpetrators of Argentina's most famous bank robbery detail how, and why, they carried out the spectacular 2006 operation.",2022,TV-14,109 min,"Documentary, Crime",Argentina,tt21281774,7.1,949
418,2022-08-21,Films (Non-English),9,2880000,1,nikamma,movie,A lazy slacker struggles to get along with his diligent sister-in-law - until they must step up and fight together against a common enemy.,2022,PG-13,152 min,"Action, Comedy, Drama",India,tt10687220,2.6,"1,559"
420,2022-08-21,TV (English),1,77240000,3,the sandman,series,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",2022–,TV-MA,1 min,"Drama, Fantasy, Horror","United Kingdom, United States",tt1751634,7.7,"124,331"
421,2022-08-21,TV (English),2,59450000,2,never have i ever,SHOW,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",2020.0,TV-14,28.0,"['comedy', 'drama']",['US'],tt10062292,7.8,47000.0
422,2022-08-21,TV (English),3,28800000,13,stranger things,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],tt4574334,8.7,1101055.0
423,2022-08-21,TV (English),4,28310000,2,locke & key,SHOW,"Three siblings who move into their ancestral estate after their father's gruesome murder discover their new home's magical keys, which must be used in their stand against an evil creature who wants the keys and their powers.",2020.0,TV-14,48.0,"['drama', 'thriller', 'scifi', 'horror', 'fantasy']",['US'],tt3007572,7.4,72031.0
424,2022-08-21,TV (English),5,25630000,1,echoes,series,"Leni and Gina are identical twins who have secretly swapped their lives since they were children, culminating in a double life as adults, but one of the sisters goes missing and everything in their perfectly schemed world turns in...",2022,TV-MA,N/A,"Drama, Mystery, Thriller","Australia, United States",tt14954498,5.9,"10,167"
425,2022-08-21,TV (English),6,24120000,16,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
426,2022-08-21,TV (English),7,20470000,5,virgin river,SHOW,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",2019.0,TV-14,44.0,"['drama', 'romance']",['US'],tt9077530,7.4,36459.0
427,2022-08-21,TV (English),8,17010000,2,never have i ever,SHOW,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",2020.0,TV-14,28.0,"['comedy', 'drama']",['US'],tt10062292,7.8,47000.0
428,2022-08-21,TV (English),9,16770000,4,never have i ever,SHOW,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",2020.0,TV-14,28.0,"['comedy', 'drama']",['US'],tt10062292,7.8,47000.0
429,2022-08-21,TV (English),10,16270000,8,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
430,2022-08-21,TV (Non-English),1,77430000,7,extraordinary attorney woo,SHOW,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,2022.0,TV-14,70.0,['drama'],['KR'],tt20869502,8.8,"10,429"
431,2022-08-21,TV (Non-English),2,27680000,1,high heat,series,"When clues to his brother's murder lead Poncho to a fire brigade, he joins it to investigate further and finds romance, family - and a serial killer.",2022–,TV-MA,N/A,Drama,Mexico,tt17641200,6.1,485
432,2022-08-21,TV (Non-English),3,19770000,2,a model family,series,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier.",2022–,TV-MA,N/A,"Crime, Drama, Thriller",South Korea,tt21289712,6.6,916
433,2022-08-21,TV (Non-English),4,19530000,5,pasión de gavilanes,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527"
434,2022-08-21,TV (Non-English),5,18040000,8,alchemy of souls,SHOW,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",2022.0,TV-14,80.0,"['drama', 'action', 'thriller', 'scifi', 'comedy', 'fantasy', 'romance']",['KR'],tt20859920,8.6,878.0
435,2022-08-21,TV (Non-English),6,17300000,4,another self,series,Three close friends set off on a journey to Ayvalik and then to their reshaped future.,2022–,TV-MA,1 min,"Drama, Romance",Turkey,tt14899624,6.4,"3,333"
436,2022-08-21,TV (Non-English),7,8840000,5,pasión de gavilanes,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527"
437,2022-08-21,TV (Non-English),8,8390000,6,alba,SHOW,A chain of events is kickstarted when a young girl is gang-raped by four boys.,2021.0,TV-MA,50.0,['drama'],['ES'],tt12446242,6.2,511.0
438,2022-08-21,TV (Non-English),9,7920000,1,the girl in the mirror,series,"After losing her memory in a bizarre accident that kills most of her classmates, Alma tries to unravel what happened that day and regain her identity.",2022–,TV-MA,N/A,"Drama, Horror, Mystery",Spain,tt13106334,6.2,"1,660"
439,2022-08-21,TV (Non-English),10,7020000,3,"good morning, verônica",SHOW,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it.",2020.0,TV-MA,45.0,"['crime', 'drama', 'thriller']",['BR'],tt12987918,7.5,3673.0
440,2022-08-14,Films (English),1,56510000,1,day shift,movie,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.",2022,R,113 min,"Action, Comedy, Fantasy",United States,tt13314558,6.1,"70,257"
441,2022-08-14,Films (English),2,46370000,3,purple hearts,movie,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.",2022,TV-14,122 min,"Drama, Music, Romance",United States,tt4614584,6.7,"35,776"
442,2022-08-14,Films (English),3,23710000,2,uncharted,movie,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",2022,PG-13,116 min,"Action, Adventure","Spain, United States",tt1464335,6.3,"192,391"
443,2022-08-14,Films (English),4,21160000,4,the gray man,MOVIE,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",2022.0,PG-13,128.0,"['thriller', 'action']","['US', 'CZ']",tt1649418,6.6,46071.0
444,2022-08-14,Films (English),5,19010000,2,wedding season,movie,"Pressured by their parents to find spouses, Asha and Ravi pretend to date during a summer of weddings, only to find themselves falling for each other.",2022,TV-PG,98 min,"Comedy, Romance",United States,tt11426572,6.3,"7,609"
445,2022-08-14,Films (English),6,10850000,6,the sea beast,MOVIE,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.",2022.0,PG,115.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],tt9288046,7.1,18852.0
446,2022-08-14,Films (English),7,10840000,1,1917,movie,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2019,R,119 min,"Action, Drama, War","United Kingdom, United States, India, Spain",tt8579674,8.2,"579,698"
447,2022-08-14,Films (English),8,10710000,1,flight,movie,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",2012,R,138 min,"Drama, Thriller","United States, United Arab Emirates",tt1907668,7.3,"355,059"
448,2022-08-14,Films (English),9,8330000,1,the informer,movie,An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,2019,R,113 min,"Action, Crime, Drama","United Kingdom, Canada, United States",tt1833116,6.6,"37,436"
449,2022-08-14,Films (English),10,7270000,8,sing 2,MOVIE,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021.0,PG,110.0,"['comedy', 'family', 'fantasy', 'music', 'drama', 'animation']",['US'],tt6467266,7.4,58423.0
450,2022-08-14,Films (Non-English),1,26670000,2,carter,movie,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him ""Carter""?",2022,TV-MA,132 min,"Action, Thriller",South Korea,tt21237030,5.1,"7,853"
451,2022-08-14,Films (Non-English),2,13960000,2,darlings,movie,It follows the lives of two women as they find courage and love in exceptional circumstances.,2022,TV-14,133 min,"Comedy, Drama, Thriller",India,tt14152140,6.6,"16,771"
453,2022-08-14,Films (Non-English),4,6610000,1,bank robbers: the last great heist,movie,"Through revealing interviews, the perpetrators of Argentina's most famous bank robbery detail how, and why, they carried out the spectacular 2006 operation.",2022,TV-14,109 min,"Documentary, Crime",Argentina,tt21281774,7.1,949
458,2022-08-14,Films (Non-English),9,2500000,1,heartsong,movie,"While serenading a wedding that quickly implodes, o nomadic musician falls for the bride, who runs afoul of her family. Now he has to save her life.",2022,TV-14,95 min,"Comedy, Drama, Music",Turkey,tt21339860,5.8,"1,401"
460,2022-08-14,TV (English),1,127500000,2,the sandman,series,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",2022–,TV-MA,1 min,"Drama, Fantasy, Horror","United Kingdom, United States",tt1751634,7.7,"124,331"
461,2022-08-14,TV (English),2,55010000,1,never have i ever,SHOW,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",2020.0,TV-14,28.0,"['comedy', 'drama']",['US'],tt10062292,7.8,47000.0
462,2022-08-14,TV (English),3,38440000,1,locke & key,SHOW,"Three siblings who move into their ancestral estate after their father's gruesome murder discover their new home's magical keys, which must be used in their stand against an evil creature who wants the keys and their powers.",2020.0,TV-14,48.0,"['drama', 'thriller', 'scifi', 'horror', 'fantasy']",['US'],tt3007572,7.4,72031.0
463,2022-08-14,TV (English),4,35310000,12,stranger things,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],tt4574334,8.7,1101055.0
464,2022-08-14,TV (English),5,29550000,4,virgin river,SHOW,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",2019.0,TV-14,44.0,"['drama', 'romance']",['US'],tt9077530,7.4,36459.0
465,2022-08-14,TV (English),6,28430000,15,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
466,2022-08-14,TV (English),7,26190000,1,i just killed my dad,series,"Anthony Templet shot his father and never denied it. But why he did it is a complex question with profound implications. Explore Anthony's psyche prior to the events of June 3, 2019 and the journey of his mental and emotional afte...",2022,TV-MA,N/A,"Documentary, Crime",United States,tt21315194,6.8,"4,623"
467,2022-08-14,TV (English),8,20920000,3,keep breathing,series,"When a small plane crashes in the middle of the Canadian wilderness, a lone woman must battle the elements and odds to survive.",2022,TV-MA,1 min,"Adventure, Drama, Thriller",United States,tt14117010,5.2,"10,848"
468,2022-08-14,TV (English),9,18720000,7,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
469,2022-08-14,TV (English),10,18070000,6,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
470,2022-08-14,TV (Non-English),1,69360000,6,extraordinary attorney woo,SHOW,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,2022.0,TV-14,70.0,['drama'],['KR'],tt20869502,8.8,"10,429"
471,2022-08-14,TV (Non-English),2,23950000,4,pasión de gavilanes,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527"
472,2022-08-14,TV (Non-English),3,21990000,3,another self,series,Three close friends set off on a journey to Ayvalik and then to their reshaped future.,2022–,TV-MA,1 min,"Drama, Romance",Turkey,tt14899624,6.4,"3,333"
473,2022-08-14,TV (Non-English),4,17840000,7,alchemy of souls,SHOW,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",2022.0,TV-14,80.0,"['drama', 'action', 'thriller', 'scifi', 'comedy', 'fantasy', 'romance']",['KR'],tt20859920,8.6,878.0
474,2022-08-14,TV (Non-English),5,12630000,2,"good morning, verônica",SHOW,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it.",2020.0,TV-MA,45.0,"['crime', 'drama', 'thriller']",['BR'],tt12987918,7.5,3673.0
475,2022-08-14,TV (Non-English),6,11670000,5,alba,SHOW,A chain of events is kickstarted when a young girl is gang-raped by four boys.,2021.0,TV-MA,50.0,['drama'],['ES'],tt12446242,6.2,511.0
476,2022-08-14,TV (Non-English),7,9420000,2,"good morning, verônica",SHOW,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it.",2020.0,TV-MA,45.0,"['crime', 'drama', 'thriller']",['BR'],tt12987918,7.5,3673.0
477,2022-08-14,TV (Non-English),8,9090000,4,pasión de gavilanes,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527"
478,2022-08-14,TV (Non-English),9,7060000,1,a model family,series,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier.",2022–,TV-MA,N/A,"Crime, Drama, Thriller",South Korea,tt21289712,6.6,916
479,2022-08-14,TV (Non-English),10,6980000,25,café con aroma de mujer,series,Love story between Gaviota and Sebastian. Gaviota is a poor harvester and Sebastian comes from a rich Colombian family.,1993–,N/A,60 min,"Drama, Romance",Colombia,tt0216459,8.4,621
480,2022-08-07,Films (English),1,102590000,2,purple hearts,movie,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.",2022,TV-14,122 min,"Drama, Music, Romance",United States,tt4614584,6.7,"35,776"
481,2022-08-07,Films (English),2,38900000,3,the gray man,MOVIE,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",2022.0,PG-13,128.0,"['thriller', 'action']","['US', 'CZ']",tt1649418,6.6,46071.0
482,2022-08-07,Films (English),3,20650000,1,uncharted,movie,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",2022,PG-13,116 min,"Action, Adventure","Spain, United States",tt1464335,6.3,"192,391"
483,2022-08-07,Films (English),4,18600000,1,wedding season,movie,"Pressured by their parents to find spouses, Asha and Ravi pretend to date during a summer of weddings, only to find themselves falling for each other.",2022,TV-PG,98 min,"Comedy, Romance",United States,tt11426572,6.3,"7,609"
484,2022-08-07,Films (English),5,14340000,5,the sea beast,MOVIE,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.",2022.0,PG,115.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],tt9288046,7.1,18852.0
485,2022-08-07,Films (English),6,11320000,2,spider-man: far from home,movie,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",2019,PG-13,129 min,"Action, Adventure, Sci-Fi",United States,tt6320628,7.4,"486,617"
486,2022-08-07,Films (English),7,9340000,1,the age of adaline,movie,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",2015,PG-13,112 min,"Drama, Fantasy, Romance","United States, Canada",tt1655441,7.2,"181,761"
487,2022-08-07,Films (English),8,8700000,1,tower heist,movie,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.",2011,PG-13,104 min,"Action, Comedy, Crime","United States, Japan",tt0471042,6.2,"145,007"
488,2022-08-07,Films (English),9,8680000,1,men in black 3,movie,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,2012,PG-13,106 min,"Action, Adventure, Comedy","United States, United Arab Emirates",tt1409024,6.8,"363,484"
489,2022-08-07,Films (English),10,7950000,7,sing 2,MOVIE,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021.0,PG,110.0,"['comedy', 'family', 'fantasy', 'music', 'drama', 'animation']",['US'],tt6467266,7.4,58423.0
490,2022-08-07,Films (Non-English),1,27300000,1,carter,movie,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him ""Carter""?",2022,TV-MA,132 min,"Action, Thriller",South Korea,tt21237030,5.1,"7,853"
493,2022-08-07,Films (Non-English),4,10210000,1,darlings,movie,It follows the lives of two women as they find courage and love in exceptional circumstances.,2022,TV-14,133 min,"Comedy, Drama, Thriller",India,tt14152140,6.6,"16,771"
494,2022-08-07,Films (Non-English),5,6460000,2,the entitled,movie,"A young man, broke and jobless, abducts three rich college kids to try and get money from their fathers.",2011,R,91 min,"Crime, Thriller",Canada,tt1650535,6.1,"6,675"
496,2022-08-07,Films (Non-English),7,3080000,1,buba,movie,"When a small-town con artist joins the local mafia with his manipulative brother, his obsession with balancing his karma gets hilariously brutal.",2022,TV-MA,94 min,"Comedy, Drama",Germany,tt21195548,5.8,"1,929"
500,2022-08-07,TV (English),1,69480000,1,the sandman,series,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",2022–,TV-MA,1 min,"Drama, Fantasy, Horror","United Kingdom, United States",tt1751634,7.7,"124,331"
501,2022-08-07,TV (English),2,54730000,2,keep breathing,series,"When a small plane crashes in the middle of the Canadian wilderness, a lone woman must battle the elements and odds to survive.",2022,TV-MA,1 min,"Adventure, Drama, Thriller",United States,tt14117010,5.2,"10,848"
502,2022-08-07,TV (English),3,46930000,3,virgin river,SHOW,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",2019.0,TV-14,44.0,"['drama', 'romance']",['US'],tt9077530,7.4,36459.0
503,2022-08-07,TV (English),4,44760000,11,stranger things,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],tt4574334,8.7,1101055.0
