,week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
2465,2021-08-29,Films (English),9,9560000,3,the kissing booth 3,MOVIE,"It’s the summer before Elle heads to college, and she has a secret decision to make. Elle has been accepted into Harvard, where boyfriend Noah is matriculating, and also Berkeley, where her BFF Lee is headed and has to decide if she should stay or not.",2021.0,PG-13,112.0,"['romance', 'comedy']","['ZA', 'GB', 'US']",tt12783454,4.7,16307.0
2466,2021-08-29,Films (English),10,8430000,1,tomb raider,movie,"Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.",2018,PG-13,119 min,"Action, Adventure, Fantasy","United Kingdom, United States",tt1365519,6.3,"214,674"
2468,2021-08-29,Films (Non-English),2,5790000,2,out of my league,movie,"Marta may be an orphan, and she may be affected by a lethal illness, yet she is the most positive person one can meet. She wants a boy to fall for her. Not any boy - the most handsome of them all. One day, she may have found her m...",2020,TV-MA,91 min,"Comedy, Drama, Romance",Italy,tt11154906,6.1,"2,876"
2471,2021-08-29,Films (Non-English),5,2280000,5,rurouni kenshin: the beginning,MOVIE,"Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro, a beautiful young woman who carries a huge burden in her heart, his life will change forever.",2021.0,R,138.0,"['action', 'drama']",['JP'],tt11991748,7.4,8273.0
2474,2021-08-29,Films (Non-English),8,1510000,5,mimi,MOVIE,"An aspiring actress in a small town in Rajasthan agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes an unexpected turn when they refuse to have the child anymore.",2021.0,TV-14,132.0,"['comedy', 'drama']",['IN'],tt10895576,7.9,"39,231"
2477,2021-08-29,TV (English),1,51280000,1,clickbait,SHOW,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",2021.0,TV-MA,46.0,"['crime', 'drama', 'thriller']","['US', 'AU']",tt10888878,7.2,51476.0
2478,2021-08-29,TV (English),2,20790000,5,outer banks,SHOW,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",2020.0,TV-MA,49.0,"['thriller', 'action', 'drama', 'romance', 'crime']",['US'],tt10293938,7.5,45815.0
2479,2021-08-29,TV (English),3,17740000,1,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
2480,2021-08-29,TV (English),4,14020000,1,the chair,SHOW,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.",2021.0,TV-MA,30.0,"['drama', 'comedy']",['US'],tt11834150,7.2,16331.0
2481,2021-08-29,TV (English),5,13860000,5,outer banks,SHOW,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",2020.0,TV-MA,49.0,"['thriller', 'action', 'drama', 'romance', 'crime']",['US'],tt10293938,7.5,45815.0
2482,2021-08-29,TV (English),6,12410000,5,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
2483,2021-08-29,TV (English),7,11180000,3,for life,series,A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.,2020–2021,TV-14,43 min,"Biography, Crime, Drama",United States,tt10327830,7.6,"8,482"
2484,2021-08-29,TV (English),8,11030000,3,cocomelon,series,"In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",2018–2022,TV-PG,N/A,"Animation, Family",United States,tt12427840,4.7,653
2485,2021-08-29,TV (English),9,10480000,5,all american,SHOW,"When a rising high school football player from South Central L.A. is recruited to play for Beverly Hills High, the wins, losses and struggles of two families from vastly different worlds - Compton and Beverly Hills - begin to collide. Inspired by the life of pro football player Spencer Paysinger.",2018.0,TV-14,42.0,"['drama', 'sport']",['US'],tt7414406,7.6,9704.0
2486,2021-08-29,TV (English),10,10090000,4,hit & run,SHOW,"A happily married man's life is turned upside down when his wife is killed in a mysterious hit-and-run accident in Tel Aviv.  Grief-stricken and confused, he searches for his wife's killers, who have fled to the U.S.  With the help of an ex-lover, he uncovers disturbing truths about his beloved wife and the secrets she kept from him.",2021.0,TV-MA,44.0,"['drama', 'action', 'thriller', 'crime']",['IL'],tt9073940,7.0,8602.0
2487,2021-08-29,TV (Non-English),1,15480000,5,the snitch cartel: origins,SHOW,"In Cali during the '60s and '70s, two brothers juggle family, romance and the joint pursuit of a burning ambition: to rule Colombia's drug industry.",2021.0,TV-MA,47.0,"['crime', 'drama']",['CO'],tt14417802,5.6,189.0
2489,2021-08-29,TV (Non-English),3,11500000,3,alrawabi school for girls,SHOW,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.,2021.0,TV-14,48.0,['drama'],['JO'],tt10183912,7.3,5863.0
2490,2021-08-29,TV (Non-English),4,10980000,5,hospital playlist,SHOW,Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999.,2020.0,TV-14,93.0,"['drama', 'comedy']",['KR'],tt11769304,8.8,5099.0
2491,2021-08-29,TV (Non-English),5,9750000,8,carrossel,series,"The adventures of a group of schoolchildren, taught and guided by a sweet-hearted, careful teacher.",2012–,TV-G,N/A,"Adventure, Comedy, Drama",Brazil,tt2215338,6.7,305
2492,2021-08-29,TV (Non-English),6,9020000,3,valeria,SHOW,A writer in a creative and marital crisis finds refuge and support in her three best friends. Based on the novels by Elisabet Benavent.,2020.0,TV-MA,41.0,"['comedy', 'drama', 'romance']",['ES'],tt9731288,6.5,5701.0
2493,2021-08-29,TV (Non-English),7,8430000,1,d.p.,SHOW,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,2021.0,TV-MA,55.0,"['drama', 'action', 'comedy']",['KR'],tt13024974,8.2,"5,531"
2494,2021-08-29,TV (Non-English),8,8220000,1,open your eyes,SHOW,"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment.",2021.0,TV-MA,47.0,"['thriller', 'drama', 'scifi']",['PL'],tt13495314,6.5,1464.0
2495,2021-08-29,TV (Non-English),9,7550000,8,the cook of castamar,SHOW,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",2021.0,TV-MA,55.0,['drama'],['ES'],tt12626014,7.4,3807.0
2496,2021-08-29,TV (Non-English),10,7340000,1,"yo soy betty, la fea",series,"An outcast in a prominent fashion company, a sweet-hearted and unattractive assistant falls hopelessly in love with her boss.",1999–2001,TV-PG,30 min,"Comedy, Drama, Romance",Colombia,tt0233127,8.2,"3,286"
2497,2021-08-22,Films (English),1,57160000,1,sweet girl,MOVIE,A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left: his daughter.,2021.0,R,110.0,"['action', 'drama', 'thriller']",['US'],tt10731768,5.5,31312.0
2498,2021-08-22,Films (English),2,26170000,2,the kissing booth 3,MOVIE,"It’s the summer before Elle heads to college, and she has a secret decision to make. Elle has been accepted into Harvard, where boyfriend Noah is matriculating, and also Berkeley, where her BFF Lee is headed and has to decide if she should stay or not.",2021.0,PG-13,112.0,"['romance', 'comedy']","['ZA', 'GB', 'US']",tt12783454,4.7,16307.0
2499,2021-08-22,Films (English),3,23870000,2,beckett,MOVIE,An American tourist in Greece finds himself on the run after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.,2021.0,R,109.0,"['crime', 'thriller', 'action', 'drama']","['IT', 'BR']",tt10230994,5.6,25703.0
